City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
203,Mount Pleasant,US,2021-11-03 21:30:54,32.7941,-79.8626,64.18,74,20,5.01
204,Komsomolskoye,RU,2021-11-03 21:30:55,55.2567,47.5461,36.73,56,65,14.81
205,Sobolevo,RU,2021-11-03 21:30:55,54.4299,31.8996,45.82,85,96,13.78
206,Ouango,CF,2021-11-03 21:30:56,4.3133,22.5552,70.54,98,84,2.75
207,Antsohihy,MG,2021-11-03 21:30:56,-14.8796,47.9875,76.71,87,69,0.4
208,Ribeira Grande,PT,2021-11-03 21:30:57,38.5167,-28.7,68.4,94,75,23.02
209,Karratha,AU,2021-11-03 21:30:57,-20.7377,116.8463,71.35,70,11,7.54
210,Esperance,AU,2021-11-03 21:30:58,-33.8667,121.9,51.64,66,33,6.31
211,Cruzeiro Do Sul,BR,2021-11-03 21:30:58,-29.5128,-51.9853,80.53,71,38,2.21
212,Norsup,VU,2021-11-03 21:30:58,-16.0667,167.3833,78.4,80,98,11.41
213,Torbay,CA,2021-11-03 21:30:59,47.6666,-52.7314,44.28,78,20,0.0
214,Surt,LY,2021-11-03 21:30:59,31.2089,16.5887,77.85,36,0,12.82
215,Suntar,RU,2021-11-03 21:31:00,62.1444,117.6319,7.75,88,100,6.17
216,Lagoa,PT,2021-11-03 21:31:00,39.05,-27.9833,67.66,87,100,21.45
217,Lao Cai,VN,2021-11-03 21:31:01,22.4833,103.95,71.24,99,79,0.98
218,Prince Rupert,CA,2021-11-03 21:30:45,54.3161,-130.3201,49.69,84,100,2.3
219,Nianzishan,CN,2021-11-03 21:31:02,47.5167,122.8833,32.23,82,33,2.26
220,Vredendal,ZA,2021-11-03 21:31:04,-31.6683,18.5012,57.69,78,0,5.06
221,Chongwe,ZM,2021-11-03 21:31:05,-15.3292,28.682,75.74,42,46,3.02
222,Shelburne,CA,2021-11-03 21:31:05,44.0787,-80.2041,38.68,70,93,4.16
223,Tautira,PF,2021-11-03 21:31:05,-17.7333,-149.15,84.22,80,42,12.91
224,Ulladulla,AU,2021-11-03 21:31:06,-35.35,150.4667,67.87,74,100,4.16
225,Vanimo,PG,2021-11-03 21:32:06,-2.6741,141.3028,80.17,88,96,4.61
226,Castro,BR,2021-11-03 21:32:07,-24.7911,-50.0119,65.71,73,70,3.96
227,Jiuquan,CN,2021-11-03 21:32:07,39.7432,98.5174,39.04,28,0,7.0
228,Coihaique,CL,2021-11-03 21:29:01,-45.5752,-72.0662,50.61,66,90,9.22
229,Pevek,RU,2021-11-03 21:32:08,69.7008,170.3133,-14.84,98,21,7.56
230,Porto Novo,BJ,2021-11-03 21:32:08,6.4965,2.6036,82.22,83,18,5.97
231,Chapais,CA,2021-11-03 21:32:09,49.7834,-74.8492,29.98,89,100,8.72
232,Nampula,MZ,2021-11-03 21:32:09,-15.1165,39.2666,76.95,65,0,14.97
233,Marathon,US,2021-11-03 21:32:10,44.9,-89.7668,41.2,51,90,8.05
234,Nevel,RU,2021-11-03 21:32:10,56.0209,29.9284,45.72,90,100,8.79
235,Saint-Philippe,RE,2021-11-03 21:32:11,-21.3585,55.7679,69.39,80,6,6.96
236,Khani,GE,2021-11-03 21:32:11,41.9563,42.9566,51.37,95,100,0.58
237,Chicama,PE,2021-11-03 21:32:12,-7.8447,-79.1469,64.94,68,61,8.32
238,Dingle,PH,2021-11-03 21:32:12,10.9995,122.6711,75.65,93,93,6.55
239,Victoria,HK,2021-11-03 21:29:40,22.2855,114.1577,76.98,86,97,1.01
240,Omsukchan,RU,2021-11-03 21:32:13,62.5333,155.8,2.12,89,25,4.83
241,Muyezerskiy,RU,2021-11-03 21:32:13,63.9333,31.65,39.04,93,100,7.63
242,Amalapuram,IN,2021-11-03 21:32:14,16.5833,82.0167,74.12,97,98,4.61
243,Manggar,ID,2021-11-03 21:32:14,-2.8833,108.2667,78.75,84,100,3.42
244,Mattru,SL,2021-11-03 21:32:14,7.6244,-11.8332,74.44,95,25,2.39
245,Fenelon Falls,CA,2021-11-03 21:32:15,44.5334,-78.7496,41.41,67,68,5.91
246,Chibombo,ZM,2021-11-03 21:32:15,-14.6569,28.0706,73.54,48,62,2.08
247,Portland,US,2021-11-03 21:27:40,45.5234,-122.6762,62.37,72,75,1.99
248,Bilibino,RU,2021-11-03 21:32:16,68.0546,166.4372,-21.62,100,73,2.82
249,Ust-Ilimsk,RU,2021-11-03 21:32:16,58.0006,102.6619,7.54,87,100,8.03
250,Sabang,ID,2021-11-03 21:32:17,5.8933,95.3214,81.18,71,93,0.92
251,Tarazona,ES,2021-11-03 21:32:17,41.9,-1.7333,45.19,69,30,8.52
252,Kousseri,CM,2021-11-03 21:32:18,12.0769,15.0306,82.36,65,6,2.3
253,Havelock,US,2021-11-03 21:32:18,34.8791,-76.9013,57.2,67,40,3.0
254,Saint-Pierre,RE,2021-11-03 21:32:19,-21.3393,55.4781,69.48,72,0,4.61
255,Chupa,RU,2021-11-03 21:32:19,66.27,33.0549,37.53,95,100,5.08
256,Miles City,US,2021-11-03 21:32:19,46.4083,-105.8406,62.51,35,1,9.22
257,Usinsk,RU,2021-11-03 21:32:20,65.9939,57.5281,31.33,95,100,21.63
258,Salalah,OM,2021-11-03 21:32:20,17.0151,54.0924,77.09,65,0,4.61
259,Paamiut,GL,2021-11-03 21:32:21,61.994,-49.6678,33.19,99,100,12.26
260,Amberley,US,2021-11-03 21:32:21,39.2048,-84.428,49.71,43,40,1.99
261,Discovery Bay,US,2021-11-03 21:32:22,37.9085,-121.6002,76.15,54,1,0.0
262,Pitea,SE,2021-11-03 21:32:22,65.3172,21.4794,42.1,98,100,2.98
263,San Patricio,US,2021-11-03 21:32:22,28.017,-97.5169,84.29,58,100,9.33
264,Beyneu,KZ,2021-11-03 21:32:23,45.3167,55.2,40.62,37,86,23.13
265,Kununurra,AU,2021-11-03 21:32:23,-15.7667,128.7333,82.38,74,35,9.22
266,Minot,US,2021-11-03 21:32:24,48.2325,-101.2963,53.82,35,1,5.75
267,San Cristobal,VE,2021-11-03 21:33:24,7.7669,-72.225,75.38,75,99,0.58
268,Eirunepe,BR,2021-11-03 21:33:25,-6.6603,-69.8736,83.23,63,93,2.44
269,Boryslav,UA,2021-11-03 21:33:25,49.2867,23.4324,45.57,76,100,5.57
270,Morristown,US,2021-11-03 21:29:48,36.214,-83.2949,51.75,58,90,4.61
271,Punta Cardon,VE,2021-11-03 21:33:26,11.6581,-70.215,82.85,72,87,17.54
272,Mayo,US,2021-11-03 21:33:26,38.8876,-76.5119,51.94,52,20,4.0
273,Necochea,AR,2021-11-03 21:33:27,-38.5473,-58.7368,77.04,71,73,13.06
274,Sao Gabriel Da Cachoeira,BR,2021-11-03 21:33:27,-0.1303,-67.0892,87.6,70,75,3.44
275,Lompoc,US,2021-11-03 21:33:28,34.6391,-120.4579,86.02,66,1,18.41
276,Guayaramerin,BO,2021-11-03 21:33:28,-10.8368,-65.3614,82.74,67,96,0.63
277,Arua,UG,2021-11-03 21:33:28,3.0201,30.9111,62.47,90,100,5.64
278,Mersing,MY,2021-11-03 21:33:29,2.4312,103.8405,75.11,94,100,3.44
279,Vavatenina,MG,2021-11-03 21:33:29,-17.4667,49.2,71.51,96,69,1.3
280,Winchester,GB,2021-11-03 21:32:59,51.0651,-1.3187,46.65,88,20,3.0
281,Hasaki,JP,2021-11-03 21:33:30,35.7333,140.8333,48.6,55,73,6.44
282,Medzev,SK,2021-11-03 21:33:31,48.7004,20.8937,49.6,85,100,3.38
283,Oranjemund,NA,2021-11-03 21:33:31,-28.55,16.4333,57.43,88,4,9.75
284,Talnakh,RU,2021-11-03 21:33:31,69.4865,88.3972,2.79,97,100,13.98
285,Nanortalik,GL,2021-11-03 21:33:32,60.1432,-45.2371,38.21,87,100,6.35
286,Narasannapeta,IN,2021-11-03 21:33:32,18.4167,84.05,74.3,82,91,5.66
287,Ray,IN,2021-11-03 21:33:33,23.6833,85.05,68.77,67,91,1.97
288,Baykit,RU,2021-11-03 21:33:33,61.67,96.37,-11.4,99,40,2.64
289,Bambanglipuro,ID,2021-11-03 21:33:33,-7.95,110.2833,76.23,90,88,3.78
290,Rocha,UY,2021-11-03 21:33:34,-34.4833,-54.3333,64.58,98,100,9.35
291,Sal Rei,CV,2021-11-03 21:33:34,16.1833,-22.9167,77.56,72,82,14.07
292,Vao,NC,2021-11-03 21:33:35,-22.6667,167.4833,69.42,66,2,9.84
293,Ancud,CL,2021-11-03 21:33:35,-41.8697,-73.8203,52.43,83,86,15.57
294,Vila Velha,BR,2021-11-03 21:29:44,-20.3297,-40.2925,76.95,73,75,14.97
