City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
323,Yulara,AU,84.04,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
325,Alice Springs,AU,87.35,few clouds,-23.7,133.8833,Desert Palms Alice Springs
326,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
327,Buala,SB,84.45,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
330,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
331,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
332,Matay,EG,70.0,clear sky,28.419,30.7792,Nag Aespen
335,Dakar,SN,80.73,clear sky,14.6937,-17.4441,Redface Studios Meublés
340,Kawalu,ID,73.63,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
341,Puerto Carreno,CO,82.31,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
342,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
345,Upata,VE,75.2,moderate rain,8.0086,-62.3989,Posada Villa Nela
347,Jalu,LY,72.5,clear sky,29.0331,21.5482,صاحبة الفخامة
354,Kieta,PG,84.06,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
355,Nata,PA,82.27,broken clouds,8.3333,-80.5167,Rey David
361,Tremedal,BR,70.97,overcast clouds,-14.9758,-41.4108,Pousada Estillos
366,Dingle,PH,78.71,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
368,Maumere,ID,82.72,overcast clouds,-8.6199,122.2111,Sylvia Hotel
371,Piacabucu,BR,79.29,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
375,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
380,Vung Tau,VN,79.57,broken clouds,10.346,107.0843,Green hotel
381,Ambilobe,MG,72.48,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
387,Bolobo,CD,72.39,light rain,-2.1667,16.2333,Hotel de Stephen
389,Sao Filipe,CV,80.35,scattered clouds,14.8961,-24.4956,Hotel Xaguate
390,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
