City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
267,Aloleng,PH,16.1307,119.7824,81.55,77,10,4.79,clear sky
268,Marsa Matruh,EG,31.3525,27.2453,70.0,78,40,5.75,scattered clouds
269,Brae,GB,60.3964,-1.353,49.91,85,100,14.54,overcast clouds
270,San Andres,CO,12.5847,-81.7006,84.22,74,20,6.91,few clouds
271,Deputatskiy,RU,69.3,139.9,5.54,91,98,3.67,overcast clouds
272,Progreso,MX,21.2833,-89.6667,78.12,75,18,12.53,few clouds
273,Wanning,CN,18.8003,110.3967,74.62,88,25,0.4,scattered clouds
274,Oster,UA,50.9506,30.8823,55.51,78,100,4.68,overcast clouds
275,Saint-Georges,GD,12.0564,-61.7485,82.08,78,20,9.22,few clouds
276,Rexburg,US,43.826,-111.7897,56.46,45,1,4.61,clear sky
277,Kirkwall,GB,58.9848,-2.9587,50.97,87,75,11.5,broken clouds
278,Gumdag,TM,39.2061,54.5906,37.56,21,93,22.79,overcast clouds
279,Madzhalis,RU,42.1217,47.8333,45.57,83,19,4.94,few clouds
280,Luanda,AO,-8.8368,13.2343,77.0,83,40,9.22,scattered clouds
281,Surt,LY,31.2089,16.5887,77.65,36,92,13.98,overcast clouds
282,Port Hedland,AU,-20.3167,118.5667,82.45,51,16,10.36,few clouds
283,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.99,64,90,6.91,overcast clouds
284,Vila Velha,BR,-20.3297,-40.2925,73.94,81,75,5.99,broken clouds
285,Poum,NC,-20.2333,164.0167,73.02,71,68,9.53,broken clouds
286,Mugumu,TZ,-1.85,34.7,63.19,73,75,4.23,broken clouds
287,Saldanha,ZA,-33.0117,17.9442,51.85,74,4,12.86,clear sky
288,Fortuna,US,40.5982,-124.1573,55.42,74,75,7.0,broken clouds
289,Lagos,NG,6.5833,3.75,79.12,94,100,3.56,light rain
290,Ous,RU,60.9058,61.5186,34.75,95,100,8.03,overcast clouds
291,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,90,8.05,overcast clouds
292,Dhidhdhoo,MV,6.8833,73.1,81.59,79,94,15.57,overcast clouds
293,Goya,AR,-29.14,-59.2626,62.67,95,100,12.71,light rain
294,Immokalee,US,26.4187,-81.4173,75.11,93,75,4.61,broken clouds
295,El Rosario,MX,24.2556,-107.1828,88.14,50,56,5.44,broken clouds
296,Caravelas,BR,-17.7125,-39.2481,75.6,84,68,9.73,broken clouds
297,Boddam,GB,57.4667,-1.7833,50.38,80,98,10.2,overcast clouds
298,Verkhoyansk,RU,67.5447,133.385,0.55,91,13,8.46,few clouds
299,Yorosso,ML,12.3536,-4.7761,87.31,24,71,2.59,broken clouds
300,Dryden,CA,49.7833,-92.7503,48.49,71,1,12.66,clear sky
301,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,40,6.91,scattered clouds
302,Cabo San Lucas,MX,22.8909,-109.9124,86.61,63,10,1.01,clear sky
303,Steubenville,US,40.3698,-80.634,43.38,68,3,3.83,clear sky
304,Flinders,AU,-34.5833,150.8552,72.21,79,36,1.01,scattered clouds
305,Sept-Iles,CA,50.2001,-66.3821,35.06,63,40,4.0,scattered clouds
306,Bulnes,CL,-36.7423,-72.2985,74.16,32,0,8.01,clear sky
307,Vanimo,PG,-2.6741,141.3028,81.39,79,96,6.46,overcast clouds
308,Conway,US,35.0887,-92.4421,53.85,64,0,3.53,clear sky
309,Fairbanks,US,64.8378,-147.7164,24.3,83,75,0.0,broken clouds
310,Naze,JP,28.3667,129.4833,63.52,90,100,14.92,overcast clouds
311,Lazaro Cardenas,MX,17.9583,-102.2,81.97,74,77,6.44,broken clouds
312,Bandarbeyla,SO,9.4942,50.8122,76.26,77,3,6.76,clear sky
313,Acari,PE,-15.4311,-74.6158,68.79,71,9,5.19,clear sky
314,Saint-Augustin,CA,51.226,-58.6502,34.14,64,23,10.07,few clouds
315,Carballo,ES,43.213,-8.691,53.87,87,65,3.71,broken clouds
316,Sirjan,IR,29.452,55.6814,53.46,64,94,2.28,overcast clouds
317,Matara,LK,5.9485,80.5353,76.33,90,91,8.43,overcast clouds
318,Shahrud,IR,36.4182,54.9763,44.13,75,100,9.69,overcast clouds
319,Lexington,US,37.9887,-84.4777,45.99,56,1,5.75,clear sky
320,Baruun-Urt,MN,46.6806,113.2792,9.72,47,100,7.36,overcast clouds
321,Lagoa,PT,39.05,-27.9833,68.4,86,100,28.16,overcast clouds
322,Snasa,NO,64.2457,12.3778,36.81,86,98,9.04,light rain
323,Yulara,AU,-25.2406,130.9889,84.04,48,27,8.05,scattered clouds
324,Poya,NC,-21.35,165.15,76.69,55,82,7.4,broken clouds
325,Alice Springs,AU,-23.7,133.8833,87.35,40,22,2.3,few clouds
326,Bairiki,KI,1.3292,172.9752,87.8,66,20,13.8,few clouds
327,Buala,SB,-8.145,159.5921,84.45,64,85,4.99,overcast clouds
328,Usinsk,RU,65.9939,57.5281,34.43,100,100,18.5,overcast clouds
329,Along,IN,28.1667,94.7667,53.98,72,44,1.57,scattered clouds
330,Kahului,US,20.8947,-156.47,89.62,58,20,23.02,few clouds
331,Hirara,JP,24.8,125.2833,79.07,83,75,18.41,broken clouds
332,Matay,EG,28.419,30.7792,70.0,75,0,14.14,clear sky
333,Khilok,RU,51.3674,110.4676,8.13,63,39,8.23,scattered clouds
334,Teya,RU,60.3778,92.6267,20.41,85,100,13.47,overcast clouds
335,Dakar,SN,14.6937,-17.4441,80.73,78,9,6.91,clear sky
336,Calama,CL,-22.4667,-68.9333,64.89,15,0,25.32,clear sky
337,Sidi Ali,DZ,36.0998,0.4206,50.63,79,88,15.59,overcast clouds
338,Naryan-Mar,RU,67.6713,53.087,35.08,98,100,13.62,overcast clouds
339,Laguna,US,38.421,-121.4238,69.21,67,1,1.01,clear sky
340,Kawalu,ID,-7.3817,108.2082,73.63,93,100,2.28,overcast clouds
341,Puerto Carreno,CO,6.189,-67.4859,82.31,71,94,6.85,overcast clouds
342,Nouadhibou,MR,20.931,-17.0347,71.58,68,5,17.27,clear sky
343,Shetpe,KZ,44.1667,52.1167,30.58,34,0,8.25,clear sky
344,Sitka,US,57.0531,-135.33,48.09,66,40,9.22,light rain
345,Upata,VE,8.0086,-62.3989,75.2,86,100,4.92,moderate rain
346,La Paz,BO,-16.5,-68.15,55.38,54,75,10.36,broken clouds
347,Jalu,LY,29.0331,21.5482,72.5,35,0,7.4,clear sky
